# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs Redshift
-26.801544 -10.669887 -18.735715 10 0.906000
-10.669887 -4.247758 -7.458823 374 0.896952
-4.247758 -1.691063 -2.969411 741 0.895115
-1.691063 -0.673224 -1.182144 458 0.898581
-0.673224 -0.268015 -0.470620 199 0.892060
-0.268015 -0.106699 -0.187357 77 0.892468
-0.106699 -0.042478 -0.074588 30 0.885000
-0.042478 -0.016911 -0.029694 16 0.886875
-0.016911 0.006732 -0.005089 13 0.885385
0.006732 0.016911 0.011821 6 0.901667
0.016911 0.042478 0.029694 10 0.892000
0.042478 0.106699 0.074588 41 0.889756
0.106699 0.268015 0.187357 76 0.890132
0.268015 0.673224 0.470620 212 0.890142
0.673224 1.691063 1.182144 548 0.896770
1.691063 4.247758 2.969411 1376 0.898074
4.247758 10.669887 7.458823 2144 0.897351
10.669887 26.801544 18.735715 1112 0.898192
26.801544 67.322435 47.061989 206 0.906553
67.322435 169.106310 118.214372 73 0.905616
169.106310 424.775845 296.941078 25 0.911600
424.775845 1066.988680 745.882263 12 0.901667
1066.988680 2680.154390 1873.571535 5 0.858000
