# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs Redshift
-67.322435 -26.801544 -47.061989 1 0.500000
-26.801544 -10.669887 -18.735715 9 0.512222
-10.669887 -4.247758 -7.458823 298 0.534698
-4.247758 -1.691063 -2.969411 585 0.528120
-1.691063 -0.673224 -1.182144 341 0.531496
-0.673224 -0.268015 -0.470620 117 0.523932
-0.268015 -0.106699 -0.187357 59 0.529831
-0.106699 -0.042478 -0.074588 22 0.528182
-0.042478 -0.016911 -0.029694 11 0.538182
-0.016911 0.006732 -0.005089 10 0.512000
0.006732 0.016911 0.011821 3 0.556667
0.016911 0.042478 0.029694 5 0.526000
0.042478 0.106699 0.074588 14 0.550714
0.106699 0.268015 0.187357 60 0.535667
0.268015 0.673224 0.470620 172 0.530291
0.673224 1.691063 1.182144 377 0.530531
1.691063 4.247758 2.969411 828 0.526147
4.247758 10.669887 7.458823 1086 0.518379
10.669887 26.801544 18.735715 705 0.511986
26.801544 67.322435 47.061989 188 0.504947
67.322435 169.106310 118.214372 49 0.498367
169.106310 424.775845 296.941078 11 0.520909
424.775845 1066.988680 745.882263 5 0.512000
1066.988680 2680.154390 1873.571535 7 0.512857
6732.243460 16910.631000 11821.437230 1 0.53000
