# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs Redshift
-26.801544 -10.669887 -18.735715 5 2.924000
-10.669887 -4.247758 -7.458823 160 2.820812
-4.247758 -1.691063 -2.969411 365 2.837014
-1.691063 -0.673224 -1.182144 218 2.838349
-0.673224 -0.268015 -0.470620 92 2.814239
-0.268015 -0.106699 -0.187357 43 2.846977
-0.106699 -0.042478 -0.074588 15 2.763333
-0.042478 -0.016911 -0.029694 9 2.644444
-0.016911 0.006732 -0.005089 8 2.766250
0.006732 0.016911 0.011821 4 2.945000
0.016911 0.042478 0.029694 5 2.854000
0.042478 0.106699 0.074588 18 2.755000
0.106699 0.268015 0.187357 49 2.803265
0.268015 0.673224 0.470620 110 2.828182
0.673224 1.691063 1.182144 272 2.825184
1.691063 4.247758 2.969411 676 2.821124
4.247758 10.669887 7.458823 818 2.771406
10.669887 26.801544 18.735715 342 2.772632
26.801544 67.322435 47.061989 56 2.706786
67.322435 169.106310 118.214372 16 2.726875
169.106310 424.775845 296.941078 4 2.792500
424.775845 1066.988680 745.882263 2 2.875000
1066.988680 2680.154390 1873.571535 1 2.530000
6732.243460 16910.631000 11821.437230 1 2.560000
16910.631000 42477.584500 29694.107750 1 2.930000
