# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs Redshift
-26.801544 -10.669887 -18.735715 6 2.300000
-10.669887 -4.247758 -7.458823 161 2.266460
-4.247758 -1.691063 -2.969411 327 2.266820
-1.691063 -0.673224 -1.182144 196 2.264592
-0.673224 -0.268015 -0.470620 73 2.255342
-0.268015 -0.106699 -0.187357 27 2.240370
-0.106699 -0.042478 -0.074588 11 2.136364
-0.042478 -0.016911 -0.029694 10 2.299000
-0.016911 0.006732 -0.005089 4 2.437500
0.006732 0.016911 0.011821 2 2.200000
0.016911 0.042478 0.029694 10 2.321000
0.042478 0.106699 0.074588 17 2.274706
0.106699 0.268015 0.187357 28 2.278214
0.268015 0.673224 0.470620 74 2.262432
0.673224 1.691063 1.182144 282 2.259468
1.691063 4.247758 2.969411 698 2.253410
4.247758 10.669887 7.458823 954 2.233627
10.669887 26.801544 18.735715 412 2.229612
26.801544 67.322435 47.061989 79 2.244684
67.322435 169.106310 118.214372 15 2.193333
169.106310 424.775845 296.941078 6 2.273333
424.775845 1066.988680 745.882263 1 2.490000
1066.988680 2680.154390 1873.571535 1 2.240000
2680.154390 6732.243460 4706.198925 2 2.155000
6732.243460 16910.631000 11821.437230 2 2.390000
