# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs Redshift
-26.801544 -10.669887 -18.735715 20 1.179500
-10.669887 -4.247758 -7.458823 366 1.149645
-4.247758 -1.691063 -2.969411 737 1.147938
-1.691063 -0.673224 -1.182144 488 1.137807
-0.673224 -0.268015 -0.470620 199 1.143719
-0.268015 -0.106699 -0.187357 79 1.143544
-0.106699 -0.042478 -0.074588 33 1.136667
-0.042478 -0.016911 -0.029694 10 1.133000
-0.016911 0.006732 -0.005089 11 1.172727
0.006732 0.016911 0.011821 7 1.125714
0.016911 0.042478 0.029694 17 1.182941
0.042478 0.106699 0.074588 38 1.149474
0.106699 0.268015 0.187357 94 1.139468
0.268015 0.673224 0.470620 224 1.143125
0.673224 1.691063 1.182144 572 1.137185
1.691063 4.247758 2.969411 1505 1.131023
4.247758 10.669887 7.458823 2329 1.128806
10.669887 26.801544 18.735715 1219 1.123043
26.801544 67.322435 47.061989 247 1.118421
67.322435 169.106310 118.214372 63 1.116032
169.106310 424.775845 296.941078 27 1.139630
424.775845 1066.988680 745.882263 8 1.173750
1066.988680 2680.154390 1873.571535 4 1.172500
2680.154390 6732.243460 4706.198925 2 1.030000
