# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs Redshift
-26.801544 -10.669887 -18.735715 16 1.440000
-10.669887 -4.247758 -7.458823 293 1.452560
-4.247758 -1.691063 -2.969411 561 1.451818
-1.691063 -0.673224 -1.182144 349 1.453954
-0.673224 -0.268015 -0.470620 192 1.453542
-0.268015 -0.106699 -0.187357 62 1.461935
-0.106699 -0.042478 -0.074588 40 1.432000
-0.042478 -0.016911 -0.029694 9 1.472222
-0.016911 0.006732 -0.005089 12 1.440000
0.006732 0.016911 0.011821 2 1.550000
0.016911 0.042478 0.029694 15 1.482667
0.042478 0.106699 0.074588 33 1.470303
0.106699 0.268015 0.187357 66 1.459394
0.268015 0.673224 0.470620 175 1.449943
0.673224 1.691063 1.182144 455 1.449297
1.691063 4.247758 2.969411 1202 1.443478
4.247758 10.669887 7.458823 1878 1.444728
10.669887 26.801544 18.735715 808 1.445248
26.801544 67.322435 47.061989 192 1.447135
67.322435 169.106310 118.214372 36 1.455278
169.106310 424.775845 296.941078 15 1.455333
424.775845 1066.988680 745.882263 8 1.405000
1066.988680 2680.154390 1873.571535 3 1.476667
6732.243460 16910.631000 11821.437230 1 1.41000
