# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs Redshift
-26.801544 -10.669887 -18.735715 13 1.743846
-10.669887 -4.247758 -7.458823 308 1.760195
-4.247758 -1.691063 -2.969411 600 1.756000
-1.691063 -0.673224 -1.182144 392 1.750587
-0.673224 -0.268015 -0.470620 185 1.746757
-0.268015 -0.106699 -0.187357 70 1.737143
-0.106699 -0.042478 -0.074588 32 1.700000
-0.042478 -0.016911 -0.029694 11 1.827273
-0.016911 0.006732 -0.005089 10 1.766000
0.006732 0.016911 0.011821 4 1.697500
0.016911 0.042478 0.029694 7 1.790000
0.042478 0.106699 0.074588 21 1.739524
0.106699 0.268015 0.187357 63 1.745556
0.268015 0.673224 0.470620 198 1.763838
0.673224 1.691063 1.182144 536 1.750131
1.691063 4.247758 2.969411 1296 1.750409
4.247758 10.669887 7.458823 1859 1.749182
10.669887 26.801544 18.735715 862 1.743561
26.801544 67.322435 47.061989 195 1.740103
67.322435 169.106310 118.214372 40 1.733500
169.106310 424.775845 296.941078 9 1.710000
424.775845 1066.988680 745.882263 7 1.690000
1066.988680 2680.154390 1873.571535 2 1.700000
2680.154390 6732.243460 4706.198925 1 1.680000
