# bin_low_uJy bin_high_uJy bin_median_uJy Ns_tot_obs Redshift
-26.801544 -10.669887 -18.735715 14 0.715000
-10.669887 -4.247758 -7.458823 419 0.694845
-4.247758 -1.691063 -2.969411 698 0.698897
-1.691063 -0.673224 -1.182144 371 0.695526
-0.673224 -0.268015 -0.470620 185 0.694865
-0.268015 -0.106699 -0.187357 60 0.703333
-0.106699 -0.042478 -0.074588 31 0.697742
-0.042478 -0.016911 -0.029694 12 0.707500
-0.016911 0.006732 -0.005089 10 0.679000
0.006732 0.016911 0.011821 5 0.694000
0.016911 0.042478 0.029694 11 0.687273
0.042478 0.106699 0.074588 27 0.701852
0.106699 0.268015 0.187357 72 0.701389
0.268015 0.673224 0.470620 190 0.698842
0.673224 1.691063 1.182144 478 0.694833
1.691063 4.247758 2.969411 1155 0.697048
4.247758 10.669887 7.458823 1527 0.695409
10.669887 26.801544 18.735715 889 0.688673
26.801544 67.322435 47.061989 181 0.694033
67.322435 169.106310 118.214372 59 0.700508
169.106310 424.775845 296.941078 22 0.692273
424.775845 1066.988680 745.882263 11 0.680909
1066.988680 2680.154390 1873.571535 4 0.737500
2680.154390 6732.243460 4706.198925 1 0.710000
